1998-11-18T00:00:00	Cleopatra	Kandis Chappell	Lisa Peterson	Berkeley Repertory Theatre	Berkeley Repertory Theatre
2005-02-23T00:00:00	Cleopatra	Josette Bushell-Mingo	Braham Murray	Royal Exchange Theatre	Royal Exchange Theatre
1995-11-26T00:00:00	Cleopatra	Ishia Bennison	Barrie Rutter	Northern Broadsides	Riverside
2009-03-26T00:00:00	Cleopatra	Lucy Black	Andrew Hilton	Shakespeare at the Tobacco Factory	Tobacco Factory Theatres
2014-01-01T00:00:00	Cleopatra	Eve Best	Jonathan Munby	Shakespeare's Globe	Shakespeare's Globe
2006-01-01T00:00:00	Cleopatra, Queen of Egypt	Frances Barber	Dominic Dromgoole	Shakespeare's Globe	Shakespeare's Globe
1999-01-01T00:00:00	Pompey / Messenger 2 / Taurus / Soldier to Cleopatra / Soldiers 6 & 9 / Diomedes / Gallus	Mark Lewis Jones	Giles Block	Shakespeare's Globe	Shakespeare's Globe
1999-01-01T00:00:00	Cleopatra	Mark Rylance	Giles Block	Shakespeare's Globe	Shakespeare's Globe
1927-07-11T00:00:00	Cleopatra	Dorothy Green	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1978-10-10T00:00:00	Cleopatra	Glenda Jackson	Peter Brook	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1912-08-09T00:00:00	Cleopatra	Dorothy Green	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1993-05-26T00:00:00	Cleopatra	Clare Higgins	John Caird	Royal Shakespeare Company	Barbican Theatre, London
1983-04-12T00:00:00	Cleopatra	Helen Mirren	Adrian Noble	Royal Shakespeare Company	Pit, London
1935-04-15T00:00:00	Cleopatra	Catherine Lacey	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2006-04-19T00:00:00	Cleopatra	Harriet Walter	Gregory Doran	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon
1931-04-17T00:00:00	Cleopatra	Dorothy Massingham	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1999-11-09T00:00:00	Cleopatra	Frances De La Tour	Steven Pimlott	Royal Shakespeare Company	Theatre Royal, Newcastle-upon-Tyne
2017-03-23T00:00:00	Cleopatra	Josette Simon	Iqbal Khan	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1945-04-23T00:00:00	Cleopatra	Claire Luce	Robert Atkins	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1953-11-04T00:00:00	Cleopatra	Peggy Ashcroft	Glen Byam Shaw	Royal Shakespeare Company	Tour
1973-10-23T00:00:00	Cleopatra	Janet Suzman	Trevor Nunn	Royal Shakespeare Company	Aldwych Theatre, London
2002-08-28T00:00:00	Cleopatra	SinÃ©ad Cusack	Michael Attenborough	Royal Shakespeare Company	Haymarket Theatre, London
1898-04-14T00:00:00	Cleopatra	Constance Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2011-03-03T00:00:00	Cleopatra	Katy Stephens	Michael Boyd	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon
2010-05-10T00:00:00	Cleopatra	Kathryn Hunter	Michael Boyd	Royal Shakespeare Company	Courtyard Theatre, Stratford-upon-Avon
2013-11-13T00:00:00	Cleopatra	Joaquina Kalukango	Tarell Alvin McCraney	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon
1972-08-15T00:00:00	Cleopatra	Janet Suzman	Euan Smith	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1924-07-15T00:00:00	Cleopatra	Dorothy Green	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2010-11-13T00:00:00	Cleopatra	Kim Cattrall	Janet Suzman	unknown production company	Liverpool Playhouse
2002-09-21T00:00:00	Cleopatra	Sinead Cusack	Michael Attenborough	Royal Shakespeare Company	Haymarket Theatre, London
1961-03-18T00:00:00	Cleopatra	Elizabeth Spriggs	Bernard Hepton	unknown production company	Birmingham Repertory Theatre
1956-01-01T00:00:00	Cleopatra	Margaret Whiting	Robert Helpmann	unknown production company	Old Vic, London
1931-06-29T00:00:00	Cleopatra	Dorothy Massingham	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1951-05-11T00:00:00	Attendant on Cleopatra	Jill Welchman	Michael Benthall	unknown production company	St James Theatre, London
1951-05-11T00:00:00	Cleopatra	Vivien Leigh	Michael Benthall	unknown production company	St James Theatre, London
1951-05-11T00:00:00	Attendant on Cleopatra; Pirate	Terence Owen	Michael Benthall	unknown production company	St James Theatre, London
1930-11-24T00:00:00	Cleopatra	Dorothy Green	Harcourt Williams	Old Vic Co.	Old Vic, London
1987-01-01T00:00:00	Cleopatra	Clare Dow	Brigid Larmour	unknown production company	Contact Theatre, Manchester
1927-07-11T00:00:00	Cleopatra	Dorothy Green	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1985-01-01T00:00:00	Cleopatra	Vanessa Redgrave	Toby Robertson	unknown production company	Theatre Royal, Haymarket, London
1985-07-20T00:00:00	Cleopatra	Diana Rigg	Robin Phillips	unknown production company	Chichester Festival Theatre
1977-01-01T00:00:00	Cleopatra	Dorothy Tutin	Toby Robertson	unknown production company	Old Vic, London
1969-01-01T00:00:00	Cleopatra	Margaret Leighton	Peter Dews	unknown production company	Chichester Festival Theatre
2000-04-29T00:00:00	Cleopatra	Frances de la Tour	Steven Pimlott	Royal Shakespeare Company	Theatre Royal, Plymouth
1998-10-12T00:00:00	Gallus; Cleopatra’s Messenger	Riz Abbasi	Sean Mathias	National Theatre	Olivier Theatre, National Theatre
1998-10-12T00:00:00	Cleopatra	Helen Mirren	Sean Mathias	National Theatre	Olivier Theatre, National Theatre
1987-01-01T00:00:00	Cleopatra	Judi Dench	Peter Hall	National Theatre	Olivier Theatre, National Theatre
2014-08-14T00:00:00	Cleopatra	Yanna McIntosh	Gary Griffin	Stratford Festival	Tom Patterson Theatre (Canada)
2003-05-28T00:00:00	Cleopatra	DIANE D’AQUILA	MARTHA HENRY	Stratford Festival	Tom Patterson Theatre (Canada)
1993-05-31T00:00:00	Cleopatra	Goldie Semple	Richard Monette	Stratford Festival	Festival Theatre (Canada)
1976-06-09T00:00:00	Cleopatra	Maggie Smith	Robin Phillips	Stratford Festival	Festival Theatre (Canada)
1967-10-17T00:00:00	Cleopatra	Zoe Caldwell	Michael Langham	Stratford Festival	Expo Theater (Canada)
2008-04-26T00:00:00	Cleopatra	Suzanne Bertish	Michael Kahn	Shakespeare Theatre Company	Sidney Harman Hall
1937-11-10T00:00:00	Cleopatra	Tallulah Bankhead	Reginald Bach	Laurence Rivers, Inc.	Mansfield Theatre
1951-12-20T00:00:00	Attendant to Cleopatra	Jessie Barclay	Michael Benthall	Gilbert Miller	Ziegfeld Theatre
1951-12-20T00:00:00	Attendant to Cleopatra	Jan Carew	Michael Benthall	Gilbert Miller	Ziegfeld Theatre
1951-12-20T00:00:00	Attendant to Cleopatra	Renee Goddard	Michael Benthall	Gilbert Miller	Ziegfeld Theatre
1951-12-20T00:00:00	Attendant to Cleopatra	Winnifred Hill	Michael Benthall	Gilbert Miller	Ziegfeld Theatre
1951-12-20T00:00:00	Attendant to Cleopatra	Teresa Moore	Michael Benthall	Gilbert Miller	Ziegfeld Theatre
1947-11-26T00:00:00	Cleopatra	Katharine Cornell	director unknown	Katharine Cornell	Martin Beck Theatre
1924-02-19T00:00:00	Cleopatra	Jane Cowl	Frank Reicher	The Selwyns	Lyceum Theatre
1909-11-06T00:00:00	Cleopatra	Julia Marlowe	director unknown	Messrs. Shubert	New Theatre
2008-04-03T00:00:00	Cleopatra	Laila Robins	Darko Tresnjak	Theatre for a New Audience	The Duke on 42nd Street
1997-02-18T00:00:00	Cleopatra	Vanessa Redgrave	Vanessa Redgrave	The Public Theater	Joseph Papp Public Theater/Anspacher Theater
1963-06-13T00:00:00	Cleopatra	Colleen Dewhurst	Joseph Papp	unknown production company	Delacorte Theater
